,0_action,0_amount,1_amount,1_contract_address,2_amount,2_contract_address,block_timestamp,event_index,from_,msg_index,to_,tx_id,user
0,transfer_from,6.664376,6.664376,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,6.664376,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,2022-03-26 09:50:42.316000,1,terra1j2d2wk787tvrnzyfj5p62zr5msf33zkaezd89m,1,terra1xw3h7jsmxvh6zse74e4099c6gl03fnmxpep76h,5424467D221495A1C737BED48B283714F9F68A51E828F9664B9B154557E07518,
1,transfer_from,1.9678,1.9678,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,1.9678,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,2022-03-26 22:24:26.067000,1,terra1wyjap9gj6ae9yf35fgyw38dducu05ptmzmmvud,1,terra1xw3h7jsmxvh6zse74e4099c6gl03fnmxpep76h,5B064939787AF1B283190BFD78E3F33F22ADC8D65EBAB8981914BEDED523C05D,
2,transfer_from,0.250374,0.250374,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,0.250374,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,2022-03-25 18:19:27.936000,1,terra12a24qgm8kajdlpuqhud60hhmxxpcyw22qx84mk,1,terra1xw3h7jsmxvh6zse74e4099c6gl03fnmxpep76h,90666C1370B402999744494BC581EF519BDB5F99B599E1AEAB306502D83D201C,
3,transfer_from,15.08,15.08,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,15.08,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,2022-03-25 16:11:50.342000,1,terra18jpuk3uprm0l40305dmlc0lz2g8wv3znfspp6u,1,terra1xw3h7jsmxvh6zse74e4099c6gl03fnmxpep76h,4D73FE5C55A235C4D04BB0FF6C35028E64070C4BBCF3B8B4C4D5AA6165F8FA33,
4,transfer_from,9.32261,9.32261,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,9.32261,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,2022-03-25 16:23:11.073000,1,terra128597g6j0hvhnkv8fzgdlrw8tlq7gzquf6xkjq,1,terra1xw3h7jsmxvh6zse74e4099c6gl03fnmxpep76h,5014172C3566A37415C024E3F540BF639112E1CD342580E071CC60F9FFDFB961,
5,transfer_from,32.0,32.0,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,32.0,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,2022-03-25 16:34:14.422000,1,terra1q79djqs4f7y27epsuc7jp93tvdfhl9p5lqyfws,1,terra1xw3h7jsmxvh6zse74e4099c6gl03fnmxpep76h,057FF544F3C2C767D4779459F55D46C93686F42B263185CADAA35D3CD7A646F8,
6,transfer_from,198.129139,198.129139,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,198.129139,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,2022-03-29 21:24:03.365000,1,terra10kf4gaxd9ddqnmvv6a8ja5l4x6whm557s5u722,1,terra1xw3h7jsmxvh6zse74e4099c6gl03fnmxpep76h,CC86B08F782E952F4654E2747355783EC6A64FAF6784333B1FDE1B714E82C7E1,
7,transfer_from,405.987943,405.987943,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,405.987943,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,2022-03-30 23:27:39.537000,1,terra1jtmpyx3wdpswham92nzatwpwc6h4ulkv2xrdaa,1,terra1xw3h7jsmxvh6zse74e4099c6gl03fnmxpep76h,08BE476433AEA7AB15A9EC0F06C28DC84779753EA97B0E2D6A6EE78BEBF2D497,
8,transfer_from,6.0,6.0,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,6.0,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,2022-03-30 22:43:19.797000,1,terra1j6lmvhuumu385nhe8alngj4sw84g6a30hu2nxh,1,terra1xw3h7jsmxvh6zse74e4099c6gl03fnmxpep76h,D6C3211C41AD7F9B7E5B2048F1C818808B879888389D75CF3E67DFA375BC11AE,
9,transfer_from,20.183515,20.183515,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,20.183515,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,2022-03-30 18:54:47.387000,1,terra1naecj553kz0revx885uz58ta05v6prnyx8flcq,1,terra1xw3h7jsmxvh6zse74e4099c6gl03fnmxpep76h,BE874A02C94D5D656E87DB657A4BA3946E3F84CD26D18C21B38F1731C872584C,
